No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Widgets,Use const constructors everywhere,Const widgets are cached and skip rebuild improving performance,Add const to every widget constructor that can be const,Omit const causing unnecessary rebuilds,"const Text('Hello World')","Text('Hello World') // rebuilt every time parent rebuilds",High,https://docs.flutter.dev/perf/best-practices
2,Widgets,Keep build methods lean,Build should only describe UI not perform logic,Move logic to methods or state classes keep build declarative,Fetch data compute values or create controllers in build,"@override Widget build(BuildContext context) { return Column(children: [_header(), _content()]); }","@override Widget build(context) { final data = computeHeavyThing(); final controller = TextEditingController(); ... }",High,
3,Widgets,Split into small focused widgets,Each widget should have a single responsibility,Extract sub-widgets as separate classes not methods,One massive widget with 500+ line build method,"class UserAvatar extends StatelessWidget { }; class UserInfo extends StatelessWidget { }","class UserProfile extends StatefulWidget { // 500 lines in build }",High,
4,Widgets,Prefer StatelessWidget when possible,StatelessWidget is simpler and cannot hold mutable state,Use StatelessWidget for widgets that only depend on constructor args,StatefulWidget for widgets that never call setState,"class PriceTag extends StatelessWidget { final double price; const PriceTag({required this.price}); }","class PriceTag extends StatefulWidget { // no state used }",Medium,
5,Material3,Use Material 3 theming,Material 3 provides modern adaptive color and shape system,ThemeData.from with ColorScheme.fromSeed,Manual color definitions or Material 2 defaults,"ThemeData( colorSchemeSeed: Colors.blue, useMaterial3: true, )","ThemeData( primarySwatch: Colors.blue, ) // Material 2",High,https://docs.flutter.dev/ui/design/material
6,Material3,Use ColorScheme tokens,Material 3 provides semantic color roles,Theme.of(context).colorScheme.primary surface error etc,Hardcoded colors or Colors.blue directly,"color: Theme.of(context).colorScheme.primary","color: Colors.blue // doesn't adapt to theme",High,
7,Material3,Use dynamic color on Android,Material You creates personalized colors from wallpaper,DynamicColorBuilder for Android 12+ wallpaper-based themes,Static colors on Android 12+,"DynamicColorBuilder(builder: (lightScheme, darkScheme) => MaterialApp(theme: ThemeData(colorScheme: lightScheme)))","Ignoring dynamic color on Android // misses platform integration",Medium,
8,Material3,Use FilledButton ElevatedButton and OutlinedButton,Material 3 defines specific button hierarchy,FilledButton for primary OutlinedButton for secondary TextButton for tertiary,ElevatedButton for everything,"FilledButton(onPressed: submit, child: Text('Save')); OutlinedButton(onPressed: cancel, child: Text('Cancel'))","ElevatedButton everywhere with manual color overrides",Medium,
9,Material3,Use Material 3 shape system,Consistent corner radii from the shape theme,Theme.of(context).shapes for small medium large extra-large,Hardcoded BorderRadius values,"shape: Theme.of(context).shapes.medium","borderRadius: BorderRadius.circular(12) // hardcoded",Medium,
10,Layout,Use Flex widgets correctly,Row Column and Flex for linear layouts,Row for horizontal Column for vertical Wrap for flow,Nested Rows in Rows or Columns in Columns unnecessarily,"Column(children: [Text(title), Text(subtitle)])","Column(children: [Column(children: [Text(title)])])  // unnecessary nesting",Medium,
11,Layout,Use Expanded and Flexible for proportions,Distribute remaining space among children,Expanded for equal distribution Flexible for min/max,Fixed SizedBox for responsive layouts,"Row(children: [Expanded(flex: 2, child: content), Expanded(flex: 1, child: sidebar)])","Row(children: [SizedBox(width: 600, child: content), SizedBox(width: 300, child: sidebar)])",Medium,
12,Layout,Use SliverAppBar for scrolling headers,SliverAppBar collapses and expands with scroll,CustomScrollView with SliverAppBar for hero-style headers,AppBar with manual scroll listener for parallax,"CustomScrollView(slivers: [SliverAppBar(expandedHeight: 200, flexibleSpace: FlexibleSpaceBar(background: Image(...)))])","AppBar() + NotificationListener<ScrollNotification> for manual collapse",Medium,https://api.flutter.dev/flutter/material/SliverAppBar-class.html
13,Layout,Use LayoutBuilder for responsive layouts,LayoutBuilder provides parent constraints for adaptive UI,LayoutBuilder to switch between mobile and tablet layouts,MediaQuery.of(context).size for everything,"LayoutBuilder(builder: (context, constraints) { if (constraints.maxWidth > 600) return TabletLayout(); return MobileLayout(); })","final size = MediaQuery.of(context).size; // causes rebuilds on keyboard",Medium,
14,Layout,Use Padding not Container for spacing,Container is heavyweight with many defaults,Padding widget for simple spacing,Container just for padding,"Padding(padding: EdgeInsets.all(16), child: Text('Hello'))","Container(padding: EdgeInsets.all(16), child: Text('Hello')) // unnecessary Container",Low,
15,Navigation,Use GoRouter for declarative routing,go_router provides URL-based declarative navigation,GoRouter with typed routes for web and mobile,Navigator.push with MaterialPageRoute,"GoRouter(routes: [GoRoute(path: '/', builder: (_, __) => HomeScreen()), GoRoute(path: '/profile/:id', builder: (_, state) => ProfileScreen(id: state.pathParameters['id']!))])","Navigator.push(context, MaterialPageRoute(builder: (_) => ProfileScreen())) // no deep linking",High,https://pub.dev/packages/go_router
16,Navigation,Use shell routes for persistent UI,ShellRoute wraps child routes with shared navigation UI,ShellRoute for bottom nav bar and side drawer that persist,Rebuilding nav bar on every page,"ShellRoute(builder: (_, __, child) => Scaffold(body: child, bottomNavigationBar: AppBottomNav()), routes: [...])","Every screen: Scaffold(bottomNavigationBar: AppBottomNav(), body: ...)  // duplicated",Medium,
17,Navigation,Use typed route parameters,Type-safe route params prevent runtime errors,GoRouterState.pathParameters with type conversion,String params without validation,"final id = int.parse(state.pathParameters['id']!)","final id = state.extra as int; // unsafe cast, breaks on deep link",Medium,
18,State,Use Riverpod for state management,Riverpod provides compile-safe dependency injection and state,Riverpod providers for shared state and dependency injection,setState for everything or Provider package,"final userProvider = FutureProvider((ref) => ref.read(apiProvider).getUser()); // auto-caches","setState(() { _users = await api.getUsers(); }) // in StatefulWidget",High,https://riverpod.dev/
19,State,Use notifierProvider for mutable state,AsyncNotifierProvider for async mutable state with Riverpod,AsyncNotifier for CRUD operations with loading/error states,FutureProvider that refetches on every read,"class TodoNotifier extends AsyncNotifier<List<Todo>> { Future<List<Todo>> build() => api.getTodos(); Future<void> add(Todo t) async { state = AsyncLoading(); state = AsyncData(await api.addTodo(t)); } }","final todosProvider = FutureProvider((ref) => api.getTodos()); // can't mutate",Medium,
20,State,Watch providers don't read in build,ref.watch rebuilds widget on change ref.read doesn't,ref.watch in build for reactive UI ref.read in callbacks,ref.read in build missing updates or ref.watch in callbacks,"final user = ref.watch(userProvider); // rebuilds when user changes","final user = ref.read(userProvider); // never updates OR ref.watch in onPressed",High,
21,State,Use select for granular rebuilds,select watches only specific fields preventing unnecessary rebuilds,ref.watch(provider.select((s) => s.count)) for specific fields,Watching entire state when you need one field,"final name = ref.watch(userProvider.select((u) => u.name)); // only rebuilds on name change","final user = ref.watch(userProvider); // rebuilds on ANY user field change",Medium,
22,Theming,Create a cohesive theme file,Centralize all theme configuration in one file,Separate theme.dart with light and dark ThemeData,Scattered theme overrides across widgets,"class AppTheme { static ThemeData light = ThemeData(colorSchemeSeed: brandColor, textTheme: _textTheme, useMaterial3: true); }","MaterialApp(theme: ThemeData(primaryColor: Colors.blue, textTheme: TextTheme(bodyLarge: TextStyle(...)))) // inline",Medium,
