No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Server Components,Default to Server Components,Server Components reduce client JS bundle and enable direct data access,Keep components server-rendered unless they need interactivity,Add 'use client' to every file,"export default async function Page() { const data = await getData(); return <div>{data}</div> }","'use client'; export default function Page() { const [data] = useState(null); useEffect(() => fetch(...), []) }",High,https://nextjs.org/docs/app/building-your-application/rendering/server-components
2,Server Components,Compose server and client components,Pass server data down as props to client interactive islands,Wrap interactive parts in small client components,Make entire pages client components,"<ServerList items={items}><ClientFilter /></ServerList>","'use client'; // entire page with one onClick",Medium,
3,Client Components,Use 'use client' at leaf nodes,Push client boundaries as deep as possible in the tree,Isolate interactivity to small leaf components,Mark layout or page-level components as client,"// LikeButton.tsx 'use client'; export function LikeButton() { }","// page.tsx 'use client'; export default function Page() { }",High,https://nextjs.org/docs/app/building-your-application/rendering/client-components
4,Client Components,Avoid passing server-only code to client,Serialization boundary means no functions or classes as props,Pass serializable data (strings numbers objects),Pass functions database clients or Node APIs as props,"<ClientCard title={post.title} />","<ClientCard getData={getFromDB} />",High,
5,Routing,Use file-based routing conventions,App Router uses folders for routes with page.tsx as the entry,Follow folder conventions: page layout loading error not-found,Create custom routing logic or manual route matching,app/dashboard/settings/page.tsx,pages/dashboard.tsx with manual sub-routing,Medium,https://nextjs.org/docs/app/building-your-application/routing
6,Routing,Use route groups for organization,Parenthesized folders group routes without affecting URL,Group by feature or section: (marketing) (dashboard),(auth),Flatten everything into app/ root,"app/(dashboard)/settings/page.tsx app/(marketing)/about/page.tsx","app/dashboard-settings.tsx app/marketing-about.tsx",Low,
7,Routing,Use parallel routes for complex layouts,Show multiple pages simultaneously in the same layout,Use @slots for dashboards multi-panel views,Manage multi-panel state manually in one component,"app/@analytics/page.tsx app/@team/page.tsx in layout","One massive component switching between panels",Medium,https://nextjs.org/docs/app/building-your-application/routing/parallel-routes
8,Routing,Use intercepting routes for modals,Intercept navigation to show content in modal overlay,Use (.) (..) (...) conventions for photo/detail modals,Build custom modal routing with state management,"app/@modal/(.)photo/[id]/page.tsx","useState(showModal) with manual URL sync",Medium,https://nextjs.org/docs/app/building-your-application/routing/intercepting-routes
9,Layouts,Use layouts for shared UI,Layouts persist across navigations and preserve state,Put navbars sidebars and shells in layout.tsx,Duplicate nav/sidebar in every page.tsx,"export default function Layout({ children }) { return <Shell>{children}</Shell> }","Every page.tsx imports and renders <Navbar />",High,https://nextjs.org/docs/app/building-your-application/routing/layouts-and-templates
10,Layouts,Use templates for re-mounting,Templates create new instance on each navigation,Use template.tsx for entrance animations or per-page effects,Use template when you want persistent state,"// template.tsx - remounts on each nav export default function Template({ children }) { return <FadeIn>{children}</FadeIn> }","Using layout.tsx and trying to detect route changes for animation",Low,
