No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use CLI for component installation,shadcn/ui components are copied into your project not installed as dependency,npx shadcn@latest add button,npm install @shadcn/ui,npx shadcn@latest add button card dialog,npm install shadcn-ui // does not exist,High,https://ui.shadcn.com/docs/cli
2,Setup,Configure components.json properly,components.json controls aliases paths and style preferences,Run npx shadcn@latest init to generate config,Manually create components.json with wrong paths,"npx shadcn@latest init // generates components.json, tailwind config, utils","Hand-writing components.json and missing cssVariables or aliases",High,https://ui.shadcn.com/docs/installation
3,Setup,Use the @/components alias,Path alias keeps imports clean and consistent,Configure @ alias in tsconfig.json,Use relative paths to components,"import { Button } from '@/components/ui/button'","import { Button } from '../../../components/ui/button'",Medium,
4,Theming,Use CSS variables for theming,CSS custom properties enable runtime theme switching,Define colors in globals.css :root and .dark,Hardcode hex values in Tailwind classes,":root { --primary: 222.2 47.4% 11.2%; } .dark { --primary: 210 40% 98%; }","className='bg-blue-500' // not themeable",High,https://ui.shadcn.com/docs/theming
5,Theming,Use HSL color format,shadcn uses HSL without the hsl() wrapper for Tailwind compatibility,Define colors as space-separated HSL values,Use hex rgb or hsl() with parentheses,"--primary: 222.2 47.4% 11.2%","--primary: #1a1a2e or --primary: hsl(222, 47%, 11%)",High,
6,Theming,Implement dark mode properly,Use class-based dark mode with next-themes,next-themes ThemeProvider with class strategy,Media query dark mode or manual toggle without persistence,"<ThemeProvider attribute='class' defaultTheme='system' enableSystem>","@media (prefers-color-scheme: dark) { } // no user preference",High,https://ui.shadcn.com/docs/dark-mode
7,Theming,Use semantic color tokens,Name colors by purpose not appearance,Use primary secondary accent muted destructive,Name colors by their hue like blue red green,"bg-primary text-primary-foreground","bg-blue-600 text-white // not semantic",High,
8,Theming,Create custom theme palettes,Extend the default theme with brand colors,Add new CSS variables and extend Tailwind config,Override built-in semantic colors for one-off uses,"--brand: 258 90% 66%; // in :root then extend tailwind","className='bg-[#8B5CF6]' // inline hex everywhere",Medium,
9,Components,Compose with compound components,shadcn components are designed for composition,Use sub-components like CardHeader CardContent CardFooter,Flatten everything into a single component,"<Card><CardHeader><CardTitle>Title</CardTitle></CardHeader><CardContent>...</CardContent></Card>","<Card title='Title' content='...' footer='...' />",High,
10,Components,Customize via className and variants,Components accept className for one-off overrides and variants for patterns,Use buttonVariants or extend with cva,Modify the component source for every style change,"<Button variant='outline' size='lg' className='rounded-full'>","Edit components/ui/button.tsx to add rounded-full to base styles",Medium,
11,Components,Use cva for variant definitions,Class Variance Authority creates type-safe variant APIs,Define variants with cva for reusable patterns,Conditional className strings for variants,"const buttonVariants = cva('inline-flex items-center', { variants: { variant: { default: 'bg-primary', outline: 'border' } } })","className={`btn ${variant === 'outline' ? 'border' : 'bg-primary'}`}",Medium,
12,Components,Extend components don't fork,Add wrappers around shadcn components for project-specific behavior,Create composed components that use shadcn primitives,Copy-paste and modify the source component,"function SubmitButton(props) { return <Button type='submit' {...props} /> }","Copy button.tsx to submit-button.tsx and modify internals",Medium,
13,Forms,Use React Hook Form + Zod,shadcn Form component integrates react-hook-form and zod validation,FormField FormItem FormLabel FormControl FormMessage pattern,Build forms without validation or with custom validation,"<FormField control={form.control} name='email' render={({ field }) => <FormItem><FormLabel>Email</FormLabel><FormControl><Input {...field} /></FormControl><FormMessage /></FormItem>} />","<input value={email} onChange={e => setEmail(e.target.value)} /> // no validation",High,https://ui.shadcn.com/docs/components/form
14,Forms,Use FormMessage for error display,FormMessage automatically shows zod validation errors,Place FormMessage after FormControl in every FormItem,Show errors with custom state or alert boxes,"<FormItem><FormControl><Input {...field} /></FormControl><FormMessage /></FormItem>","{errors.email && <p className='text-red-500'>{errors.email.message}</p>}",Medium,
15,Forms,Use Select Combobox and DatePicker properly,These complex inputs integrate with Form via FormControl,Wrap in FormControl and pass field props,Use native select or build custom dropdowns,"<FormControl><Select onValueChange={field.onChange} defaultValue={field.value}>...</Select></FormControl>","<select value={field.value} onChange={field.onChange}>",Medium,
16,Data Display,Use DataTable for complex tables,Combine Table component with @tanstack/react-table,DataTable with column defs sorting filtering pagination,Build tables with raw HTML table elements,"const table = useReactTable({ data, columns, getCoreRowModel: getCoreRowModel() })","<table><tr><td>{item.name}</td></tr></table> // no sorting or features",Medium,https://ui.shadcn.com/docs/components/data-table
17,Data Display,Use Card for content containers,Card provides consistent padding borders and sections,Card with CardHeader CardTitle CardDescription CardContent,Custom div with border and padding,<Card><CardHeader><CardTitle>Revenue</CardTitle><CardDescription>Monthly</CardDescription></CardHeader><CardContent>...</CardContent></Card>,<div className='border rounded p-4'><h3>Revenue</h3>...</div>,Medium,
18,Data Display,Use Badge for status indicators,Badges show status labels and counts,Badge with variant for different states,Colored spans or custom pill components,"<Badge variant='destructive'>Failed</Badge>","<span className='bg-red-100 text-red-800 rounded-full px-2'>Failed</span>",Low,
19,Feedback,Use Toast for notifications,Sonner integration for toast notifications,useToast or toast() from sonner,Alert boxes or custom notification systems,"toast.success('Saved successfully')","alert('Saved successfully') // blocks UI",Medium,https://ui.shadcn.com/docs/components/sonner
20,Feedback,Use AlertDialog for confirmations,AlertDialog for destructive or important confirmations,AlertDialog with AlertDialogAction and AlertDialogCancel,window.confirm or custom modal for confirmations,"<AlertDialog><AlertDialogTrigger>Delete</AlertDialogTrigger><AlertDialogContent>Are you sure?</AlertDialogContent></AlertDialog>","if (window.confirm('Delete?')) { } // ugly and not styled",Medium,
21,Feedback,Use Skeleton for loading states,Skeleton components for content placeholders,Skeleton matching the shape of expected content,Spinners or blank space while loading,"<Skeleton className='h-4 w-[250px]' /><Skeleton className='h-4 w-[200px]' />","<div>Loading...</div> or <Spinner />",Medium,https://ui.shadcn.com/docs/components/skeleton
22,Navigation,Use NavigationMenu for main nav,Accessible navigation with dropdown menus,NavigationMenu with NavigationMenuList and items,Custom nav with hover divs,"<NavigationMenu><NavigationMenuList><NavigationMenuItem><NavigationMenuTrigger>Products</NavigationMenuTrigger><NavigationMenuContent>...</NavigationMenuContent></NavigationMenuItem></NavigationMenuList></NavigationMenu>","<div onMouseEnter={showDropdown}>Products</div>",Medium,https://ui.shadcn.com/docs/components/navigation-menu
23,Navigation,Use Breadcrumb for wayfinding,Shows current location in hierarchy,Breadcrumb with BreadcrumbList BreadcrumbItem BreadcrumbLink,Manual breadcrumb with slashes and links,"<Breadcrumb><BreadcrumbList><BreadcrumbItem><BreadcrumbLink href='/'>Home</BreadcrumbLink></BreadcrumbItem><BreadcrumbSeparator /><BreadcrumbItem><BreadcrumbPage>Settings</BreadcrumbPage></BreadcrumbItem></BreadcrumbList></Breadcrumb>","<div>Home / Settings</div>",Low,
