No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use Tailwind CSS v4 with Vite plugin,v4 uses CSS-first config and native cascade layers,@import 'tailwindcss' in CSS with Vite plugin,Stick with v3 tailwind.config.js when starting new projects,"@import 'tailwindcss';","module.exports = { content: [...] } // v3 config",Medium,https://tailwindcss.com/docs/installation/vite
2,Setup,Use @theme for design tokens,v4 uses @theme directive in CSS for customization,Define tokens in @theme block in your CSS file,Edit tailwind.config.js theme (v3 pattern),"@theme { --color-primary: #3b82f6; --font-sans: 'Inter', sans-serif; }","theme: { extend: { colors: { primary: '#3b82f6' } } } // v3",Medium,https://tailwindcss.com/docs/theme
3,Layout,Use flex and grid utilities,Flexbox and Grid cover all layout needs,flex for 1D layouts grid for 2D layouts,Float-based or absolute positioning layouts,"<div className='grid grid-cols-3 gap-4'>","<div style='float: left; width: 33%'>",High,https://tailwindcss.com/docs/display
4,Layout,Use gap instead of margin for spacing,Gap property creates consistent spacing in flex/grid,gap-4 gap-x-6 gap-y-2 for internal spacing,Margin on children for grid/flex spacing,"<div className='flex gap-4'>","<div className='flex'><div className='mr-4'>...",Medium,
5,Layout,Use container with responsive padding,Container centers content with max-width,container mx-auto px-4 for page wrappers,Fixed width divs or manual max-width,"<div className='container mx-auto px-4'>","<div className='w-[1200px] mx-auto'>",Medium,
6,Spacing,Use consistent spacing scale,Follow the 4px/0.25rem spacing scale,Use scale values: 1 2 3 4 5 6 8 10 12 16 20 24,Arbitrary values for common spacing,"className='p-4 mt-6 mb-8'","className='p-[17px] mt-[23px]' // inconsistent",Medium,https://tailwindcss.com/docs/padding
7,Spacing,Use space-x and space-y for stacking,Automatic spacing between children,space-y-4 for vertical stacks space-x-4 for horizontal,Manual margin on each child,"<div className='space-y-4'><Card /><Card /><Card /></div>","<Card className='mb-4' /><Card className='mb-4' /><Card />",Medium,
8,Typography,Use prose for rich text content,@tailwindcss/typography styles rendered markdown/CMS content,prose class for article blog and documentation content,Manual styling of every heading paragraph and list,"<article className='prose prose-lg dark:prose-invert'>","<article><h1 className='text-3xl font-bold mb-4'>...",High,https://tailwindcss.com/docs/typography-plugin
9,Typography,Use text-balance and text-pretty,Modern text wrapping for headings and body copy,text-balance for headings text-pretty for paragraphs,Manual max-width or br tags for line wrapping,"<h1 className='text-4xl font-bold text-balance'>","<h1>Long heading that<br />wraps awkwardly</h1>",Medium,
10,Typography,Use font-feature-settings for polish,Enable OpenType features for professional typography,tabular-nums for tables oldstyle-nums for body text,Default font rendering for all contexts,"<td className='tabular-nums'>1,234.56</td>","Numbers in tables with proportional widths misaligning",Low,
11,Colors,Use opacity modifier syntax,Apply opacity to any color with slash syntax,bg-black/50 for 50% opacity backgrounds,Separate opacity utilities or rgba values,"className='bg-primary/10 text-primary'","className='bg-primary opacity-10' // makes children transparent too",High,https://tailwindcss.com/docs/background-color
12,Colors,Use ring for focus indicators,Ring utility creates accessible focus outlines,ring-2 ring-primary ring-offset-2 for focus,Custom box-shadow or outline for focus states,"focus:ring-2 focus:ring-primary focus:ring-offset-2","focus:outline-none focus:shadow-[0_0_0_2px] // hacky",Medium,
13,Colors,Use gradient utilities for backgrounds,Linear gradients with from/via/to utilities,bg-gradient-to-r from-blue-500 to-purple-500,CSS background-image gradients,"className='bg-gradient-to-br from-primary/20 via-transparent to-secondary/20'","style={{ backgroundImage: 'linear-gradient(...)' }}",Medium,
14,Responsive,Use mobile-first breakpoints,Tailwind is mobile-first: base styles are mobile,Write base mobile styles then add sm md lg xl overrides,Desktop-first with max-width media queries,"className='grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3'","className='grid-cols-3 sm:grid-cols-1' // backwards",High,https://tailwindcss.com/docs/responsive-design
15,Responsive,Use responsive hiding/showing,Control visibility at breakpoints,hidden md:block for desktop-only or md:hidden for mobile-only,JavaScript-based responsive rendering,"<nav className='hidden md:flex'>Desktop nav</nav><nav className='md:hidden'>Mobile nav</nav>","if (window.innerWidth > 768) return <DesktopNav />",Medium,
16,Responsive,Use responsive typography scaling,Scale font sizes across breakpoints,text-lg md:text-xl lg:text-2xl for fluid sizing,Fixed font sizes that are too small on desktop or too large on mobile,"<h1 className='text-2xl md:text-4xl lg:text-5xl font-bold'>","<h1 className='text-5xl'> // too large on mobile",Medium,
17,Dark Mode,Use dark: variant for dark mode,Class-based dark mode toggle,dark:bg-gray-900 dark:text-white with class strategy,Separate dark mode CSS files or media query only,"className='bg-white dark:bg-gray-950 text-gray-900 dark:text-gray-50'","@media (prefers-color-scheme: dark) { .card { ... } }",High,https://tailwindcss.com/docs/dark-mode
18,Dark Mode,Design for dark mode from the start,Consider both modes while building not as afterthought,Test every component in both light and dark themes,Build everything in light then add dark: as fix,"bg-background text-foreground // semantic tokens work in both","bg-white text-black then later adding dark:bg-black dark:text-white",High,
19,Animation,Use transition utilities for interactions,Smooth hover focus and state transitions,transition-colors duration-200 for color changes,No transitions or CSS transition properties,"className='transition-colors duration-200 hover:bg-primary/90'","className='hover:bg-primary/90' // instant jarring change",Medium,https://tailwindcss.com/docs/transition-property
20,Animation,Use animate utilities for motion,Built-in animations for common patterns,animate-spin animate-pulse animate-bounce for loading,Custom @keyframes for basic animations,"<Spinner className='animate-spin h-5 w-5' />","@keyframes spin { to { transform: rotate(360deg) } }",Medium,
21,Animation,Use motion-safe and motion-reduce,Respect user motion preferences,motion-reduce:animate-none for accessibility,Ignore prefers-reduced-motion,"className='animate-bounce motion-reduce:animate-none'","className='animate-bounce' // ignores motion sensitivity",High,
22,Components,Use group and peer for relational styles,Style elements based on parent or sibling state,group-hover peer-focus for related element styling,JavaScript state to coordinate styles,"<div className='group'><img /><div className='opacity-0 group-hover:opacity-100'>Overlay</div></div>","const [hovered, setHovered] = useState(false); onMouseEnter/Leave",Medium,https://tailwindcss.com/docs/hover-focus-and-other-states
23,Components,Use has-[] for parent styling based on children,Style parent based on child state,has-[:focus]:ring-2 to highlight parent when child focused,JavaScript to detect child focus and style parent,"<div className='has-[:focus]:ring-2 has-[:focus]:ring-primary'>","useRef + onFocus propagation to set parent style",Medium,
24,Components,Use data-[] for state-based styling,Style based on data attributes for state management,data-[state=active]:bg-primary for component states,Conditional className strings,"className='data-[state=active]:bg-primary data-[state=active]:text-primary-foreground'","className={active ? 'bg-primary text-white' : 'bg-gray-100'}",Medium,
25,States,Use focus-visible over focus,focus-visible only shows for keyboard navigation,focus-visible:ring-2 for keyboard accessibility,focus: which triggers on mouse clicks too,"className='focus-visible:ring-2 focus-visible:ring-primary focus-visible:outline-none'","className='focus:ring-2 focus:ring-primary' // ring on every click",High,
26,States,Use disabled: variant for disabled states,Semantic disabled styling tied to HTML disabled attribute,disabled:opacity-50 disabled:cursor-not-allowed,Manual opacity based on disabled prop,"<button disabled className='disabled:opacity-50 disabled:cursor-not-allowed'>","<button className={disabled ? 'opacity-50 cursor-not-allowed' : ''}>",Medium,
27,States,Use placeholder: for input styling,Style placeholder text directly with variant,placeholder:text-muted-foreground for input hints,::placeholder CSS or no placeholder styling,"<input className='placeholder:text-muted-foreground placeholder:italic' placeholder='Search...' />","input::placeholder { color: gray } // separate CSS",Low,
28,Performance,Avoid @apply in component styles,@apply extracts utilities but adds CSS weight and loses JIT benefits,Use utilities directly in markup,Heavy @apply usage creating a utility-CSS hybrid,"<button className='px-4 py-2 bg-primary text-primary-foreground rounded-md'>","@apply px-4 py-2 bg-primary text-primary-foreground rounded-md; // in CSS",Medium,https://tailwindcss.com/docs/reusing-styles
29,Performance,Use arbitrary values sparingly,Arbitrary values like w-[347px] bypass the design system,Use scale values when possible arbitrary only when necessary,Arbitrary values for everything,"className='max-w-prose' // semantic width","className='max-w-[65ch]' // same thing but arbitrary",Low,
30,Custom,Use @layer for custom utilities,Add custom styles within Tailwind layers,@layer utilities for custom utility classes,Plain CSS outside of layer system,"@layer utilities { .text-gradient { background-clip: text; -webkit-text-fill-color: transparent; } }","/* outside layers */ .text-gradient { ... } // ordering issues",Medium,
31,Custom,Use theme() function in CSS,Reference design tokens in custom CSS,theme(colors.primary) in CSS when needed,Hardcoded values that drift from theme,"border-color: theme(colors.border);","border-color: #e5e7eb; // hardcoded",Medium,
32,Patterns,Use divide for bordered lists,Divide utilities add borders between children,divide-y divide-border for list separators,Border on each item or last-child exceptions,"<ul className='divide-y divide-border'><li>Item 1</li><li>Item 2</li></ul>","<li className='border-b last:border-b-0'>",Medium,
33,Patterns,Use truncate and line-clamp,Control text overflow elegantly,truncate for single line line-clamp-3 for multi-line,Manual overflow CSS or JavaScript truncation,"<p className='line-clamp-2'>Long text...</p>","<p style={{ overflow: 'hidden', display: '-webkit-box', WebkitLineClamp: 2 }}>",Medium,
34,Patterns,Use aspect-ratio for media containers,Maintain proportions for images and videos,aspect-video aspect-square for common ratios,Padding-bottom hack for aspect ratios,"<div className='aspect-video'><video /></div>","<div className='relative pb-[56.25%]'><video className='absolute inset-0' />",Medium,
35,Patterns,Use size-* for equal width and height,size utility sets both width and height,size-10 for icons and avatars,Separate w-10 h-10,"<Avatar className='size-10'>","<Avatar className='w-10 h-10'>",Low,
36,Patterns,Use inset for positioning shortcuts,inset-0 replaces top-0 right-0 bottom-0 left-0,inset-0 for full overlays inset-x-0 for horizontal,Four separate position properties,"<div className='absolute inset-0 bg-black/50'>","<div className='absolute top-0 right-0 bottom-0 left-0'>",Low,
37,Custom,Use @variant for custom variants,Create reusable custom variants in v4,@variant for complex selectors,Repeated arbitrary selectors,"@variant pointer-coarse (@media (pointer: coarse));","className='[@media(pointer:coarse)]:text-lg' // repeated everywhere",Low,
38,Accessibility,Use sr-only for screen reader text,Hide visually but remain accessible to screen readers,sr-only for icon buttons and visual-only elements,display:none which hides from everyone,"<button><X /><span className='sr-only'>Close menu</span></button>","<button><X /></button> // no accessible name",High,https://tailwindcss.com/docs/screen-readers
39,Accessibility,Ensure sufficient color contrast,WCAG requires 4.5:1 for normal text 3:1 for large,Use text-foreground on bg-background or matching tokens,Low contrast decorative text for important content,"text-foreground bg-background // high contrast semantic pair","text-gray-400 bg-gray-100 // 2.5:1 contrast ratio fails WCAG",High,
40,Accessibility,Use outline-offset for focus rings,Ring offset prevents focus indicators from overlapping content,ring-offset-2 ring-offset-background for clean focus rings,Focus rings that overlap content or disappear,"focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2","focus:outline-2 // overlaps rounded corners awkwardly",Medium,
