No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Views,Use value types for views,SwiftUI views are lightweight value types rebuilt on every state change,Keep view structs small and focused,Put heavy logic or storage in view body,"struct ProfileCard: View { let user: User; var body: some View { VStack { Text(user.name) } } }","class ProfileCard: View { // classes are wrong for SwiftUI views }",High,https://developer.apple.com/documentation/swiftui/view
2,Views,Extract subviews for readability,Break complex views into smaller composable pieces,Extract computed properties and subview structs,One massive body with 200+ lines,"var header: some View { HStack { avatar; nameLabel } }","var body: some View { // 300 lines of nested stacks }",High,
3,Views,Use ViewModifier for reusable styling,Custom ViewModifiers encapsulate repeated style patterns,Create modifiers for card styles button styles etc,Repeating the same modifier chain everywhere,"struct CardStyle: ViewModifier { func body(content: Content) -> some View { content.padding().background(.background).cornerRadius(12).shadow(radius: 4) } }",".padding().background(.background).cornerRadius(12).shadow(radius: 4) // repeated 20x",Medium,
4,Views,Use @ViewBuilder for conditional content,ViewBuilder enables if/else and switch in view composition,@ViewBuilder for computed properties returning conditional views,Wrapping everything in AnyView for type erasure,"@ViewBuilder var content: some View { if isLoggedIn { Dashboard() } else { LoginView() } }","AnyView(isLoggedIn ? AnyView(Dashboard()) : AnyView(LoginView())) // performance hit",High,
5,Layout,Use VStack HStack ZStack purposefully,Each stack type serves a specific layout direction,VStack for vertical HStack for horizontal ZStack for overlay,Nesting unnecessary stacks,"VStack(alignment: .leading, spacing: 12) { Text(title); Text(subtitle) }","VStack { HStack { VStack { Text(title) } } } // unnecessary nesting",Medium,
6,Layout,Use LazyVStack and LazyHStack for long lists,Lazy stacks only create views that are visible on screen,LazyVStack inside ScrollView for lists over 20 items,Regular VStack for hundreds of items,"ScrollView { LazyVStack { ForEach(items) { item in ItemRow(item: item) } } }","ScrollView { VStack { ForEach(items) { ... } } } // creates all 1000 views",High,https://developer.apple.com/documentation/swiftui/lazyvstack
7,Layout,Use Grid for 2D layouts,Grid provides flexible row and column based layouts,Grid with GridRow for tables and aligned content,Nested HStacks trying to align columns,"Grid { GridRow { Text('Name'); Text('Score') } GridRow { Text('Alice'); Text('95') } }","VStack { HStack { Text('Name'); Spacer(); Text('Score') } } // misaligned",Medium,https://developer.apple.com/documentation/swiftui/grid
8,Layout,Use Spacer purposefully,Spacer pushes content to edges within stacks,One Spacer to push content to opposite end,Multiple Spacers creating unclear layouts,"HStack { Text(title); Spacer(); Button('Edit') {} }","HStack { Spacer(); Text(title); Spacer(); Button('Edit') {}; Spacer() }",Medium,
9,Layout,Use padding and spacing consistently,Consistent spacing creates visual rhythm,Standard spacing values: 4 8 12 16 20 24 32,Arbitrary spacing values that break rhythm,".padding(16) // or .padding(.horizontal, 20)",".padding(13) .padding(.top, 7) // inconsistent",Medium,
10,Layout,Use GeometryReader sparingly,GeometryReader is powerful but can cause performance issues,Use only when you truly need parent dimensions,GeometryReader for simple proportional layouts,"GeometryReader { proxy in Circle().frame(width: proxy.size.width * 0.5) }","GeometryReader everywhere for basic centering // use alignment instead",Medium,
